player,age,goat,similarity,distance,data_cutoff,model_version
A.J. Lawson,23,Larry Bird,27.249356398176484,2.6698114457738886,2023-24,V2
A.J. Lawson,23,Kareem Abdul-Jabbar,23.22598565978669,3.305522334543558,2023-24,V2
A.J. Lawson,23,Magic Johnson,20.682373913883136,3.8350349150623635,2023-24,V2
A.J. Lawson,23,LeBron James,20.303858623446278,3.9251721977872243,2023-24,V2
AJ Green,24,Michael Jordan,26.662836216337904,2.750538734462317,2023-24,V2
AJ Green,24,Larry Bird,26.188227707226716,2.818509641735119,2023-24,V2
AJ Green,24,Magic Johnson,23.100239518268253,3.3289594430792575,2023-24,V2
AJ Green,24,Kareem Abdul-Jabbar,21.03123123816903,3.7548333650819554,2023-24,V2
AJ Green,24,LeBron James,20.419617000901372,3.8972515006322475,2023-24,V2
Aaron Holiday,27,Larry Bird,22.610518342104648,3.422720367882187,2023-24,V2
Aaron Holiday,27,Kareem Abdul-Jabbar,21.235478597446146,3.7091003643320923,2023-24,V2
Aaron Holiday,27,Michael Jordan,20.74429887713469,3.8206015827425506,2023-24,V2
Aaron Holiday,27,Magic Johnson,20.69611878785178,3.8318238325293175,2023-24,V2
Aaron Holiday,27,LeBron James,20.012659657312827,3.9968370877410586,2023-24,V2
Aaron Nesmith,24,Michael Jordan,33.06381679156676,2.0244542132082572,2023-24,V2
Aaron Nesmith,24,Larry Bird,31.14516004597855,2.2107717492019106,2023-24,V2
Aaron Nesmith,24,Magic Johnson,27.95760446814947,2.576844364971412,2023-24,V2
Aaron Nesmith,24,Kareem Abdul-Jabbar,24.468120532059714,3.086950604521239,2023-24,V2
Aaron Nesmith,24,LeBron James,23.250487356606435,3.3009851133974535,2023-24,V2
Aaron Wiggins,25,Magic Johnson,25.015557639709293,2.9975123257401073,2023-24,V2
Aaron Wiggins,25,Larry Bird,24.357740371071788,3.105471134701967,2023-24,V2
Aaron Wiggins,25,Michael Jordan,22.853870116896562,3.3756265126433425,2023-24,V2
Aaron Wiggins,25,Kareem Abdul-Jabbar,20.9752308325914,3.7675279856572343,2023-24,V2
Aaron Wiggins,25,LeBron James,20.561586883643372,3.8634378545728607,2023-24,V2
Alperen Sengun,21,Magic Johnson,48.97948959347004,1.041670928586647,2023-24,V2
Alperen Sengun,21,LeBron James,43.816370931847715,1.2822519956191878,2023-24,V2
Amen Thompson,21,Magic Johnson,33.43828050997698,1.9905843983264335,2023-24,V2
Amen Thompson,21,LeBron James,30.619385640965728,2.265904847751414,2023-24,V2
Amir Coffey,27,Larry Bird,22.525733326706398,3.4393671251288627,2023-24,V2
Amir Coffey,27,Kareem Abdul-Jabbar,21.74047985801618,3.599714479767008,2023-24,V2
Amir Coffey,27,Michael Jordan,21.349162746698862,3.684024436296108,2023-24,V2
Amir Coffey,27,Magic Johnson,21.1929089546988,3.7185594112519613,2023-24,V2
Amir Coffey,27,LeBron James,20.571420833504607,3.861112939614279,2023-24,V2
Andre Jackson Jr.,22,Michael Jordan,28.673343199498905,2.487559832288674,2023-24,V2
Andre Jackson Jr.,22,LeBron James,25.9790561309105,2.8492545493605372,2023-24,V2
Andre Jackson Jr.,22,Magic Johnson,25.476502046723777,2.9251856403442082,2023-24,V2
Andrew Nembhard,24,Larry Bird,33.083525578716745,2.022652460726008,2023-24,V2
Andrew Nembhard,24,Michael Jordan,32.196643402486394,2.1059138292744355,2023-24,V2
Andrew Nembhard,24,Magic Johnson,24.751188779379728,3.0402099830982756,2023-24,V2
Andrew Nembhard,24,LeBron James,22.411913129079416,3.461912707945052,2023-24,V2
Andrew Nembhard,24,Kareem Abdul-Jabbar,21.34580407798693,3.684761447010843,2023-24,V2
Anfernee Simons,25,Larry Bird,33.16766182078333,2.014984913327191,2023-24,V2
Anfernee Simons,25,Magic Johnson,25.83308258243765,2.8710053157954887,2023-24,V2
Anfernee Simons,25,Michael Jordan,25.268597232641138,2.957481259419629,2023-24,V2
Anfernee Simons,25,LeBron James,23.997383999898013,3.1671208828606066,2023-24,V2
Anfernee Simons,25,Kareem Abdul-Jabbar,21.306912234920866,3.6933126159925447,2023-24,V2
Anthony Black,20,Magic Johnson,27.02870801980608,2.699769886400862,2023-24,V2
Anthony Black,20,LeBron James,25.631015176610237,2.901523186301872,2023-24,V2
Anthony Edwards,22,LeBron James,48.187307664879,1.0752352610246438,2023-24,V2
Anthony Edwards,22,Michael Jordan,48.01757891549646,1.0825706388900735,2023-24,V2
Anthony Edwards,22,Magic Johnson,43.50696961043758,1.2984823097403086,2023-24,V2
Ausar Thompson,21,Magic Johnson,26.819724101671312,2.72859913177736,2023-24,V2
Ausar Thompson,21,LeBron James,25.901710687482172,2.860748859662315,2023-24,V2
Austin Reaves,26,Larry Bird,27.960331275099193,2.5764955363407167,2023-24,V2
Austin Reaves,26,Magic Johnson,26.963669299856747,2.708694053762604,2023-24,V2
Austin Reaves,26,LeBron James,25.909697590324804,2.8595587482789453,2023-24,V2
Austin Reaves,26,Kareem Abdul-Jabbar,24.764173050364345,3.038091633289113,2023-24,V2
Austin Reaves,26,Michael Jordan,24.685160205427184,3.051016852546672,2023-24,V2
Ayo Dosunmu,24,Michael Jordan,34.50966715028131,1.8977387572161748,2023-24,V2
Ayo Dosunmu,24,Larry Bird,33.65948447134097,1.970930825905667,2023-24,V2
Ayo Dosunmu,24,Magic Johnson,27.241235473817145,2.670905458605752,2023-24,V2
Ayo Dosunmu,24,LeBron James,23.448743674061188,3.264620799732618,2023-24,V2
Ayo Dosunmu,24,Kareem Abdul-Jabbar,23.393142502697398,3.2747570143031997,2023-24,V2
Bam Adebayo,26,Larry Bird,28.615350686045286,2.4946277995036605,2023-24,V2
Bam Adebayo,26,Magic Johnson,26.422214351460763,2.7846941467444215,2023-24,V2
Bam Adebayo,26,LeBron James,26.26199189057569,2.807784284477132,2023-24,V2
Bam Adebayo,26,Michael Jordan,24.35515830500592,3.105906385319868,2023-24,V2
Bam Adebayo,26,Kareem Abdul-Jabbar,24.025001090743423,3.162330716335698,2023-24,V2
Ben Sheppard,22,Michael Jordan,24.824097436771424,3.0283438402828717,2023-24,V2
Ben Sheppard,22,LeBron James,24.66452705881414,3.054405736689928,2023-24,V2
Ben Sheppard,22,Magic Johnson,22.691893074440415,3.4068601800630516,2023-24,V2
Bennedict Mathurin,22,Michael Jordan,34.41233240683242,1.9059349659235951,2023-24,V2
Bennedict Mathurin,22,LeBron James,32.867447988545436,2.0425240205704682,2023-24,V2
Bennedict Mathurin,22,Magic Johnson,30.51033850101279,2.2775775331591457,2023-24,V2
