Name,PLAYER_ID,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,PTS,REB,AST,PPG,RPG,APG,PPG_Z,RPG_Z,APG_Z,PRODUCTION_Z,TS_PCT,TS_PLUS,TS_Z
Michael Jordan,893,1984-85,CHI,22.0,82,3144.0,2313,534.0,481,28.20731707317073,6.512195121951219,5.865853658536586,2.711598773473821,0.9277761504547751,1.619223466930742,1.8487393946051838,0.5920931375560607,111.89942283785228,1.1340971339340342
Michael Jordan,893,1986-87,CHI,24.0,82,3281.0,3041,430.0,377,37.08536585365854,5.2439024390243905,4.597560975609756,4.154973112986082,0.4246751970175798,1.0168860646698605,2.094457623700665,0.5617583164614953,107.78864231085245,0.7765999097017053
Michael Jordan,893,1987-88,CHI,25.0,82,3311.0,2868,449.0,485,34.97560975609756,5.475609756097561,5.914634146341464,3.9410591656141127,0.5448134184223696,1.6300801596378094,2.228891739663699,0.6034337653593671,115.32617538395678,1.5551291305052544
Michael Jordan,893,1988-89,CHI,26.0,81,3255.0,2633,652.0,650,32.50617283950617,8.049382716049383,8.024691358024691,3.495535085617492,1.5481109129292898,2.520327345971135,2.6187455119171243,0.6140620918690995,118.33027963215375,1.8932808420805671
Michael Jordan,893,1989-90,CHI,27.0,82,3197.0,2753,565.0,519,33.573170731707314,6.890243902439025,6.329268292682927,3.619341561761804,1.0829933692133236,1.8173459909687786,2.317838432759352,0.6059712268220958,117.2773096316251,1.535856634941438
Michael Jordan,893,1990-91,CHI,28.0,82,3034.0,2580,492.0,453,31.463414634146343,6.0,5.524390243902439,3.37322208201618,0.7425292816428879,1.4779946107338184,2.015446000519484,0.6049975612501408,116.43220494719395,1.590287053681929
Michael Jordan,893,1991-92,CHI,29.0,80,3102.0,2404,511.0,489,30.05,6.3875,6.1125,3.3244094718247603,0.8356136170215626,1.8862215966667293,2.1463143528363915,0.578552175587216,112.23946951043753,1.2212488237147074
Michael Jordan,893,1992-93,CHI,30.0,78,3067.0,2541,522.0,428,32.57692307692308,6.6923076923076925,5.487179487179487,3.7483613247522722,0.9935934701423419,1.5773873400228866,2.270638772950478,0.5638246884652253,108.06585363531727,0.8392450735622303
Michael Jordan,893,1995-96,CHI,33.0,82,3090.0,2491,543.0,352,30.378048780487806,6.621951219512195,4.2926829268292686,3.605665214106906,1.0412336523347323,1.092345967649744,2.0823399716381052,0.5822596630327057,110.28115901053879,1.0687427079740761
Michael Jordan,893,1996-97,CHI,34.0,82,3109.0,2431,482.0,352,29.646341463414632,5.878048780487805,4.2926829268292686,3.441558966737042,0.7400501871144095,1.1543133594531085,1.9449326506650721,0.5665504511894995,108.67734282388437,0.859316375561661
Michael Jordan,893,1997-98,CHI,35.0,82,3181.0,2357,475.0,283,28.74390243902439,5.7926829268292686,3.451219512195122,3.4983489223743627,0.719344789891076,0.7685498578431637,1.845707963270017,0.5332000144780658,103.92639443688158,0.3971906736895368
Michael Jordan,893,2001-02,WAS,39.0,60,2089.0,1375,339.0,310,22.916666666666668,5.65,5.166666666666667,2.406646074557268,0.690907241353643,1.6671003411571188,1.6700607045761358,0.4675216930065555,92.42750051661871,-0.7473635025812599
Michael Jordan,893,2002-03,WAS,40.0,82,3029.0,1640,497.0,311,20.0,6.060975609756097,3.792682926829268,1.8549644855664684,0.8459979376634671,1.0324344587918033,1.3055155131631686,0.4911473681688589,97.41738292775459,-0.24967286129247102
Larry Bird,1449,1979-80,BOS,23.0,82,2955.0,1745,852.0,370,21.28048780487805,10.390243902439025,4.512195121951219,1.713377679206484,2.135344455437405,1.162945470725219,1.6748380495313806,0.538115209078574,104.01356399473865,0.4220699313678756
Larry Bird,1449,1980-81,BOS,24.0,82,3239.0,1741,895.0,451,21.23170731707317,10.914634146341463,5.5,1.7950617087761527,2.5239708532396725,1.740912376407541,1.9974896524046253,0.5284340625986451,102.16801889686364,0.20173370279219277
Larry Bird,1449,1981-82,BOS,25.0,77,2923.0,1761,837.0,447,22.87012987012987,10.87012987012987,5.805194805194805,2.1088455951231095,2.535480953638577,1.905353486960177,2.17578857022887,0.5568555527447508,106.13587546190155,0.6311771956287584
Larry Bird,1449,1982-83,BOS,26.0,79,2982.0,1867,870.0,458,23.632911392405063,11.012658227848101,5.7974683544303796,2.135505042112599,2.5212939097046463,1.7888544343343862,2.147246520056749,0.5606876006054344,108.75465712124084,0.8675163371968773
Larry Bird,1449,1983-84,BOS,27.0,79,3028.0,1908,796.0,520,24.151898734177216,10.075949367088608,6.582278481012659,2.201397957524852,2.3049539607255434,2.0205242959997554,2.1782026600275306,0.5523262546027188,104.65681202315183,0.4695767973966734
Larry Bird,1449,1984-85,BOS,28.0,80,3161.0,2295,842.0,531,28.6875,10.525,6.6375,2.783983903482333,2.423783771510651,1.9805402434241564,2.4348907658733756,0.5851367613763845,110.58474034928003,1.008798817987127
Larry Bird,1449,1985-86,BOS,29.0,82,3113.0,2115,805.0,557,25.79268292682927,9.817073170731707,6.7926829268292686,2.529373229725843,2.13646749012514,2.0487776741682957,2.267322841178368,0.5802532812431412,109.76526242251468,0.9891857401795643
Larry Bird,1449,1986-87,BOS,30.0,74,3005.0,2076,682.0,566,28.054054054054053,9.216216216216216,7.648648648648648,2.7628231859180685,1.8450339273324452,2.4358203296446157,2.3893855514603457,0.6115955691727551,117.35127743139144,1.7300833635217998
Larry Bird,1449,1987-88,BOS,31.0,76,2965.0,2275,703.0,467,29.93421052631579,9.25,6.144736842105263,3.1464059082098155,1.9492088888857535,1.7355069207641918,2.3639771061789094,0.6078596926233889,116.17204330383235,1.6409583612039562
Larry Bird,1449,1989-90,BOS,33.0,75,2944.0,1820,712.0,562,24.266666666666666,9.493333333333334,7.493333333333333,2.1982014711661244,2.057243140921656,2.339985400364634,2.198449150852337,0.545589716533167,105.59130745076769,0.49703610280504723
Larry Bird,1449,1990-91,BOS,34.0,60,2277.0,1164,509.0,431,19.4,8.483333333333333,7.183333333333334,1.494126433327663,1.6764076551810856,2.2306882923797664,1.7697793575993208,0.5302864640279904,102.0540018919215,0.19878358549311784
Larry Bird,1449,1991-92,BOS,35.0,45,1662.0,908,434.0,306,20.177777777777777,9.644444444444444,6.8,1.7155550373723722,1.9875038756336836,2.222266037227149,1.949152988807199,0.5474628593478681,106.20812348947592,0.6194438004467954
LeBron James,2544,2003-04,CLE,19.0,79,3120.0,1654,432.0,465,20.936708860759495,5.468354430379747,5.886075949367089,2.141784014067423,0.6064603947664805,2.237080442312631,1.7097758567507029,0.48807837582625113,97.03347597282516,-0.28664546858160245
LeBron James,2544,2004-05,CLE,20.0,80,3388.0,2175,588.0,577,27.1875,7.35,7.2125,3.0341978208560607,1.3906780466270514,2.893760250741633,2.49901061755303,0.5537620172722829,107.53172803782094,0.7162449773419333
LeBron James,2544,2005-06,CLE,21.0,79,3361.0,2478,556.0,521,31.367088607594937,7.037974683544304,6.594936708860759,3.6007891652834685,1.3611586529412545,2.6250845642078535,2.63618863125812,0.5680463606521301,109.62004460498311,0.9361510345431703
LeBron James,2544,2006-07,CLE,22.0,78,3190.0,2132,526.0,470,27.333333333333332,6.743589743589744,6.0256410256410255,2.9236983102261482,1.1852340435923412,2.198031340585974,2.184458939343954,0.5524919147524671,105.00129938097804,0.4624709911162286
LeBron James,2544,2007-08,CLE,23.0,75,3027.0,2250,592.0,539,30.0,7.8933333333333335,7.1866666666666665,3.44822575831106,1.5661677934988383,2.720951715059704,2.6654261558919865,0.5678262098483777,108.73711231784257,0.7450534547198573
LeBron James,2544,2008-09,CLE,24.0,81,3054.0,2304,613.0,587,28.444444444444443,7.567901234567901,7.246913580246914,3.136259821605025,1.4684729070107871,2.867129017715526,2.555184506059904,0.5912907795594062,111.55828806002349,1.152522960086779
LeBron James,2544,2009-10,CLE,25.0,76,2966.0,2258,554.0,651,29.710526315789473,7.2894736842105265,8.56578947368421,3.5187727229703665,1.3626431672419153,3.5851538328283055,2.8918481892092127,0.6043508982292358,113.79884093771157,1.3539020718128028
LeBron James,2544,2010-11,MIA,26.0,79,3063.0,2111,590.0,554,26.72151898734177,7.468354430379747,7.012658227848101,3.137189494152529,1.4751906900529514,2.6879776211100928,2.5038262910099247,0.5940722229726687,112.57922282795847,1.1391777630403261
LeBron James,2544,2011-12,MIA,27.0,62,2326.0,1683,492.0,387,27.14516129032258,7.935483870967742,6.241935483870968,3.3997389358578434,1.7339606495317723,2.3388853174032795,2.581749364423653,0.6054479523412093,117.91296603928836,1.5918159684641224
LeBron James,2544,2012-13,MIA,28.0,76,2877.0,2036,610.0,551,26.789473684210527,8.026315789473685,7.25,3.3557952989048565,1.718789395296409,2.8130115544195204,2.7018584044767215,0.6404932678998364,122.68691162660703,2.028671710584654
LeBron James,2544,2013-14,MIA,29.0,77,2902.0,2089,533.0,488,27.12987012987013,6.922077922077922,6.337662337662338,3.174933863988749,1.2447388649464068,2.372230291832562,2.3550642926291907,0.6485966219572776,123.08884161891199,2.101703237279692
LeBron James,2544,2014-15,CLE,30.0,69,2493.0,1743,416.0,511,25.26086956521739,6.028985507246377,7.405797101449275,3.032463294465409,0.8875798441380186,3.065038725852852,2.3987708887834245,0.5766482280390652,110.05068663142006,0.9657733651547573
LeBron James,2544,2015-16,CLE,31.0,76,2709.0,1920,565.0,514,25.263157894736842,7.434210526315789,6.7631578947368425,2.898647543322707,1.475070271689241,2.6527536905900178,2.3978062060128607,0.5882208769392907,110.55452911026593,1.0694928747761108
LeBron James,2544,2016-17,CLE,32.0,74,2795.0,1954,639.0,646,26.405405405405407,8.635135135135135,8.72972972972973,2.8391071523475033,1.9459537838053864,3.7065591278171546,2.8313967344257636,0.6192794300347354,114.43810025726128,1.4434834961425502
LeBron James,2544,2017-18,CLE,33.0,82,3026.0,2251,709.0,747,27.451219512195124,8.646341463414634,9.109756097560975,3.1014053870175853,1.9507319084437893,3.9448600154474414,3.0092397319744033,0.6205751968417106,112.96211027809244,1.3129796085928633
LeBron James,2544,2018-19,LAL,34.0,55,1937.0,1505,465.0,454,27.363636363636363,8.454545454545455,8.254545454545454,2.920007847383899,1.7545636912304152,3.304661199534559,2.685770606183052,0.5883870765958777,106.86736702167418,0.68461199483739
LeBron James,2544,2019-20,LAL,35.0,67,2316.0,1698,525.0,684,25.34328358208955,7.835820895522388,10.208955223880597,2.4135303505115657,1.5085959075563566,4.368839581275842,2.728642786854286,0.5772996790512973,103.24292883677737,0.3130188585853917
LeBron James,2544,2020-21,LAL,36.0,45,1504.0,1126,346.0,350,25.022222222222222,7.688888888888889,7.777777777777778,2.3253309787148373,1.5403313097551543,2.8913260403295276,2.2596295965113393,0.6020102651839179,107.1203850155043,0.7026236134458075
