importance_rank,factor,factor_name,category,coefficient,abs_coefficient,correlation,direction,train_r2,test_r2,test_mae,approx_win_error
1,e_fg_percent,Shooting Efficiency,Shooting,0.09716346806578016,0.09716346806578016,0.4189452400974819,Positive,0.9292316966011368,0.9256408197500683,0.03205766565656018,2.6287285838379346
2,opp_e_fg_percent,Opponent Shooting Defense,Defense,-0.09052262016886589,0.09052262016886589,-0.37807153034158303,Negative,0.9292316966011368,0.9256408197500683,0.03205766565656018,2.6287285838379346
3,tov_percent,Ball Security,Possession,-0.06094028440297043,0.06094028440297043,-0.1977029700017417,Negative,0.9292316966011368,0.9256408197500683,0.03205766565656018,2.6287285838379346
4,opp_tov_percent,Turnover Creation,Possession,0.05947189877027338,0.05947189877027338,0.04138334709466432,Positive,0.9292316966011368,0.9256408197500683,0.03205766565656018,2.6287285838379346
5,orb_percent,Offensive Rebounding,Rebounding,0.0501568179060181,0.0501568179060181,0.05380491395269329,Positive,0.9292316966011368,0.9256408197500683,0.03205766565656018,2.6287285838379346
6,drb_percent,Defensive Rebounding,Rebounding,0.041661901576260055,0.041661901576260055,0.15743542965520868,Positive,0.9292316966011368,0.9256408197500683,0.03205766565656018,2.6287285838379346
7,opp_ft_fga,Opponent Free Throw Prevention,Free Throws,-0.03445757272574927,0.03445757272574927,-0.22608478000858037,Negative,0.9292316966011368,0.9256408197500683,0.03205766565656018,2.6287285838379346
8,ft_fga,Free Throw Pressure,Free Throws,0.028355477846257374,0.028355477846257374,0.18371890659045617,Positive,0.9292316966011368,0.9256408197500683,0.03205766565656018,2.6287285838379346
