Name,Peak Production,Peak Efficiency,Playoffs,Peak MVP,True Peak Score,Peak Rank
LeBron James,99.86894544205093,100.0,82.071,99.8,94.54198363261528,1
Michael Jordan,99.55906026244794,94.43333333333332,79.2835,98.6,92.25943474540105,2
Magic Johnson,99.55906026244794,100.0,75.9885,94.0,91.46426807873438,3
Larry Bird,99.25541051494076,91.17,52.071999999999996,98.1,83.25222315448224,4
Kareem Abdul-Jabbar,99.80860102653676,100.0,48.3375,89.5,82.34383030796103,5
