future_goat_rank,player,age,team,production_z,ts_plus,production_score,efficiency_score,recognition_score,closest_goat,goat_similarity,adjusted_goat_similarity,future_goat_score,data_cutoff,model_version,trajectory_tier
157,Jalen Wilson,23,BKN,-0.5947901500476822,94.54385993507319,0.0,14.263471218238093,0.0,Larry Bird,31.206668101025006,1.4837180409202633,3.7884255106975626,2023-24,V2,Developing trajectory
158,Jordan Hawkins,22,NOP,-0.5325305366825626,93.90074064673894,0.0,13.745724678993032,0.0,Michael Jordan,26.82992838898705,1.2293226959737167,3.6208295741443153,2023-24,V2,Developing trajectory
159,Gradey Dick,20,TOR,-0.47984621575666575,96.03739950498552,0.0,13.683351493109608,0.0,Magic Johnson,26.768524499181133,1.2209437655807043,3.6039794381145076,2023-24,V2,Developing trajectory
160,Brandin Podziemski,21,GSW,0.4082652619127978,95.02291271190198,0.0,13.287147217555173,0.0,Magic Johnson,29.659617931954738,1.3136390329277399,3.518832659327954,2023-24,V2,Developing trajectory
161,Peyton Watson,21,DEN,-0.4693763241108967,94.86311417343411,0.0,12.75448542266228,0.0,Magic Johnson,25.323049690689736,1.0766082271241826,3.3501125897341972,2023-24,V2,Developing trajectory
162,Landry Shamet,27,WAS,-0.662385223062797,97.82325953768306,0.0,12.659402524185356,0.0,Larry Bird,22.059129558338725,0.9308513347072169,3.3044783312524215,2023-24,V2,Developing trajectory
163,Blake Wesley,21,SAS,-0.5571126126526402,94.61800019657858,0.0,11.93743883314383,0.0,Magic Johnson,24.849020759945557,0.9887788846179042,3.1326765409786432,2023-24,V2,Developing trajectory
164,Jordan Nwora,25,TOT,-0.4755860117143662,99.40545516183037,0.0,11.038760968680066,0.0,Larry Bird,25.376678023491156,0.933756942934918,2.899753783610254,2023-24,V2,Developing trajectory
165,Kevin Huerter,25,SAC,0.012878052046666633,99.28885919456106,0.0,10.650107744449002,0.0,Larry Bird,27.54017378577164,0.9776860603977263,2.8091798451719097,2023-24,V2,Developing trajectory
166,Toumani Camara,24,POR,-0.18137852135529303,96.32883287391833,0.0,9.932146705059969,0.0,Larry Bird,30.898399549629296,1.0229581242615902,2.636480394904231,2023-24,V2,Developing trajectory
167,Cole Anthony,24,ORL,0.18385118865016178,96.024701191236,0.0,8.91837442945222,0.0,Larry Bird,33.44985064216899,0.9943943087870527,2.3787527536811126,2023-24,V2,Developing trajectory
168,Precious Achiuwa,24,TOT,0.046333186236199336,95.95775674253183,0.0,8.695226267104962,0.0,Larry Bird,32.40881523865422,0.9393399384963258,2.3147075575506895,2023-24,V2,Developing trajectory
169,Zeke Nnaji,23,DEN,-0.8857746291217261,92.87653217227428,0.0,8.705712008908412,0.0,Larry Bird,28.589486564961575,0.829639455057039,2.300873920485659,2023-24,V2,Developing trajectory
170,Eugene Omoruyi,27,WAS,-0.7747809966427969,96.63108699050761,0.0,8.68549403360054,0.0,Larry Bird,21.621510829524166,0.6259783443575386,2.2652702600537657,2023-24,V2,Developing trajectory
171,Ben Sheppard,22,IND,-0.8319760730003924,92.25499941448707,0.0,8.259920571486816,0.0,Michael Jordan,24.824097436771424,0.6834835769552715,2.1675026794149947,2023-24,V2,Developing trajectory
172,Sandro Mamukelashvili,25,SAS,-0.623035858932103,98.40178294173,0.0,7.693186901678834,0.0,Larry Bird,24.609008126310666,0.6310723299354707,2.017957574910029,2023-24,V2,Developing trajectory
173,Dyson Daniels,21,NOP,-0.18718015289838408,93.20452400137998,0.0,7.22585151581517,0.0,Magic Johnson,25.876774162262027,0.6232724260159596,1.8999537428561863,2023-24,V2,Developing trajectory
174,Keyonte George,20,UTA,0.37442548753038807,93.89169744236214,0.0,6.531011284365036,0.0,LeBron James,30.476627259662216,0.6634773218074699,1.7322744193623794,2023-24,V2,Developing trajectory
175,Davion Mitchell,25,SAC,-0.6676008902227368,97.6944801253101,0.0,5.335510846945795,0.0,Larry Bird,24.319219253882185,0.4325181937278047,1.3987554407956193,2023-24,V2,Developing trajectory
176,Malaki Branham,21,SAS,-0.3195733378621065,92.6246861614211,0.0,5.293058715952223,0.0,Magic Johnson,25.075804346039188,0.44242568251105124,1.3896285313647134,2023-24,V2,Developing trajectory
177,Josh Okogie,25,PHX,-0.6730508723242942,97.18736714073981,0.0,3.6451342317115136,0.0,Larry Bird,24.21542591621854,0.29422825980894113,0.9554177968992196,2023-24,V2,Developing trajectory
178,A.J. Lawson,23,DAL,-1.0188605290673283,91.29900757496529,0.0,3.447296684545099,0.0,Larry Bird,27.249356398176484,0.3131220532247386,0.9087924791199855,2023-24,V2,Developing trajectory
179,Ausar Thompson,21,DET,0.18388034932885172,91.9317366166909,0.0,2.983226900184898,0.0,Magic Johnson,26.819724101671312,0.26669774131881036,0.785811386244046,2023-24,V2,Developing trajectory
180,Scoot Henderson,20,POR,0.6283544818370905,86.16079934390332,1.768801542230829,0.0,0.0,LeBron James,27.253734022666908,0.1606881559028068,0.6431837631662112,2023-24,V2,Developing trajectory
181,Saddiq Bey,25,ATL,0.4196911109126778,96.60677015005315,0.0,1.7098109294226542,0.0,Larry Bird,28.69300737752666,0.16353205870699974,0.4519825411617135,2023-24,V2,Developing trajectory
182,Matisse Thybulle,27,POR,-0.6341474980410127,94.4933784089682,0.0,1.5597987618024924,0.0,Larry Bird,21.76245368550945,0.11315016104147244,0.40692221460684397,2023-24,V2,Developing trajectory
183,Gary Trent Jr.,25,TOR,-0.031665932644725975,96.41310193937488,0.0,1.0642502271617595,0.0,Larry Bird,26.699830515413183,0.09471766897069653,0.28027020713604434,2023-24,V2,Developing trajectory
184,JT Thor,21,CHA,-0.884658287627382,91.32728825878135,0.0,0.9683990404864081,0.0,Magic Johnson,22.493860255775097,0.07261010896175986,0.252991276465866,2023-24,V2,Developing trajectory
185,Ziaire Williams,22,MEM,-0.27617004231142883,89.95049496844798,0.0,0.5782390846898504,0.0,LeBron James,26.4798784839222,0.05103900232413879,0.15221562152108342,2023-24,V2,Developing trajectory
186,Jaden Hardy,21,DAL,-0.547701726922361,91.03930550279067,0.0,0.008456520517465075,0.0,Magic Johnson,23.588617488643855,0.0006649254259045074,0.0022138689432519448,2023-24,V2,Developing trajectory
187,Luka Samanic,24,UTA,-0.8242614325606201,85.30479759127617,0.0,0.0,0.0,Larry Bird,24.16235875504302,0.0,0.0,2023-24,V2,Developing trajectory
187,Cam Reddish,24,LAL,-0.6995332218502577,88.7879264979637,0.0,0.0,0.0,Larry Bird,25.764453529519677,0.0,0.0,2023-24,V2,Developing trajectory
187,Jalen McDaniels,26,TOR,-0.9205513586030071,72.46631117096078,0.0,0.0,0.0,Larry Bird,16.547441607539923,0.0,0.0,2023-24,V2,Developing trajectory
187,Talen Horton-Tucker,23,UTA,0.00117176167962324,88.54464272220507,0.0,0.0,0.0,Larry Bird,31.805801574210232,0.0,0.0,2023-24,V2,Developing trajectory
187,Dalano Banton,24,TOT,-0.0456110472239816,88.69175522724956,0.0,0.0,0.0,Larry Bird,28.932697990518818,0.0,0.0,2023-24,V2,Developing trajectory
187,Johnny Davis,22,WAS,-0.9737203316304957,81.30465254631227,0.0,0.0,0.0,LeBron James,21.139653153860976,0.0,0.0,2023-24,V2,Developing trajectory
187,Shake Milton,27,TOT,-0.7773146956647493,87.7953667444955,0.0,0.0,0.0,Larry Bird,20.3484129213006,0.0,0.0,2023-24,V2,Developing trajectory
187,Xavier Tillman,25,TOT,-0.4110674983069256,83.05158657409525,0.0,0.0,0.0,Larry Bird,21.577016321885235,0.0,0.0,2023-24,V2,Developing trajectory
187,Killian Hayes,22,DET,0.08794227583112696,83.40538518233632,0.0,0.0,0.0,LeBron James,25.159803333081474,0.0,0.0,2023-24,V2,Developing trajectory
187,Markelle Fultz,26,ORL,-0.13688827934197068,86.59608763439363,0.0,0.0,0.0,Larry Bird,20.984539686940977,0.0,0.0,2023-24,V2,Developing trajectory
187,Quentin Grimes,24,TOT,-0.5708756095622559,90.85753704988862,0.0,0.0,0.0,Larry Bird,27.018624074552264,0.0,0.0,2023-24,V2,Developing trajectory
187,Jordan Poole,25,WAS,0.6170395151804444,93.07773698091532,0.0,0.0,0.0,Larry Bird,28.20609198698042,0.0,0.0,2023-24,V2,Developing trajectory
187,Julian Phillips,20,CHI,-1.1385358547432154,91.77654180197202,0.0,0.0,0.0,Magic Johnson,22.556883385332483,0.0,0.0,2023-24,V2,Developing trajectory
187,Jeremy Sochan,21,SAS,0.5833225478386457,90.29235314485543,0.0,0.0,0.0,Magic Johnson,27.41810395312997,0.0,0.0,2023-24,V2,Developing trajectory
187,Chuma Okeke,25,ORL,-1.0192302795271746,81.84271225870691,0.0,0.0,0.0,Larry Bird,19.813939898374354,0.0,0.0,2023-24,V2,Developing trajectory
187,Julian Strawther,22,DEN,-0.8662028430795873,84.79552474185088,0.0,0.0,0.0,LeBron James,22.46687279882224,0.0,0.0,2023-24,V2,Developing trajectory
187,Olivier-Maxence Prosper,21,DAL,-0.9215211274848956,87.27287043428163,0.0,0.0,0.0,Magic Johnson,21.149323620154778,0.0,0.0,2023-24,V2,Developing trajectory
187,David Roddy,23,TOT,-0.4490316249029291,85.23140516231209,0.0,0.0,0.0,Larry Bird,27.454002443107164,0.0,0.0,2023-24,V2,Developing trajectory
187,Kris Murray,23,POR,-0.42168132124724006,84.72415042009253,0.0,0.0,0.0,Larry Bird,27.30534461898598,0.0,0.0,2023-24,V2,Developing trajectory
187,Dalen Terry,21,CHI,-0.7993154099590951,90.06444511798898,0.0,0.0,0.0,Magic Johnson,22.38708262060509,0.0,0.0,2023-24,V2,Developing trajectory
187,Nick Smith Jr.,20,CHA,-0.7269681080835849,89.92875939552886,0.0,0.0,0.0,LeBron James,23.340283259485062,0.0,0.0,2023-24,V2,Developing trajectory
187,Kobe Brown,24,LAC,-1.0487223851647003,86.2020863580142,0.0,0.0,0.0,Larry Bird,23.552626974299706,0.0,0.0,2023-24,V2,Developing trajectory
187,Jordan Goodwin,25,TOT,-0.07245992193397267,79.40106443084885,0.0,0.0,0.0,Larry Bird,21.21358723520292,0.0,0.0,2023-24,V2,Developing trajectory
187,Jose Alvarado,26,NOP,-0.40331184142428694,94.99055341879567,0.0,0.0,0.0,Larry Bird,22.289518129649288,0.0,0.0,2023-24,V2,Developing trajectory
187,Malachi Flynn,26,TOT,-0.6079554554657194,93.89381893541676,0.0,0.0,0.0,Larry Bird,21.53963560925981,0.0,0.0,2023-24,V2,Developing trajectory
187,Troy Brown Jr.,24,TOT,-0.7219464149321313,89.7378121900667,0.0,0.0,0.0,Larry Bird,25.941742881543078,0.0,0.0,2023-24,V2,Developing trajectory
187,Dennis Smith Jr.,26,BKN,-0.1129315485571607,89.34991535423381,0.0,0.0,0.0,Larry Bird,21.733904820187586,0.0,0.0,2023-24,V2,Developing trajectory
187,Oshae Brissett,26,BOS,-0.7283289832814928,93.3548958250223,0.0,0.0,0.0,Larry Bird,21.130705567918305,0.0,0.0,2023-24,V2,Developing trajectory
187,Lonnie Walker IV,25,BKN,-0.38579960910260935,96.01704024349254,0.0,0.0,0.0,Larry Bird,25.14257177281255,0.0,0.0,2023-24,V2,Developing trajectory
187,P.J. Washington,25,TOT,0.33177559441814736,94.48283300857383,0.0,0.0,0.0,Larry Bird,27.63888469574867,0.0,0.0,2023-24,V2,Developing trajectory
187,Chris Duarte,27,SAC,-0.8619466399003783,90.17141636939107,0.0,0.0,0.0,Larry Bird,20.541573957843458,0.0,0.0,2023-24,V2,Developing trajectory
187,Ochai Agbaji,24,TOT,-0.576356868074481,87.51520383860995,0.0,0.0,0.0,Larry Bird,25.913723772299143,0.0,0.0,2023-24,V2,Developing trajectory
187,Jaden Springer,21,TOT,-0.897612654288095,86.18300367012819,0.0,0.0,0.0,Magic Johnson,20.89051768700199,0.0,0.0,2023-24,V2,Developing trajectory
